b,g,r
99.26741790771484,117.38689422607422,149.07272338867188
99.2650146484375,117.4048843383789,149.03712463378906
99.19430541992188,117.40597534179688,149.00799560546875
99.1189193725586,117.37132263183594,148.9688262939453
99.06291961669922,117.32621765136719,148.921142578125
99.03005981445312,117.33914184570312,148.91998291015625
98.95611572265625,117.3206558227539,148.8815460205078
98.91527557373047,117.3301773071289,148.86138916015625
98.88309478759766,117.3358154296875,148.9001007080078
98.8520278930664,117.31526947021484,148.88259887695312
98.84272766113281,117.33729553222656,148.87310791015625
98.88096618652344,117.32208251953125,148.8426513671875
98.8233413696289,117.28706359863281,148.76876831054688
98.89949035644531,117.35030364990234,148.8555450439453
98.88701629638672,117.30554962158203,148.8244171142578
98.87174224853516,117.31478118896484,148.82427978515625
98.90746307373047,117.33447265625,148.85569763183594
98.96134185791016,117.36919403076172,148.90614318847656
99.04032135009766,117.39010620117188,148.94139099121094
99.0178451538086,117.35124206542969,148.8933563232422
99.01232147216797,117.33090209960938,148.88595581054688
99.03845977783203,117.33472442626953,148.88792419433594
99.03536987304688,117.35252380371094,148.89950561523438
99.03484344482422,117.33253479003906,148.86361694335938
98.797119140625,117.09765625,148.63401794433594
97.89898681640625,116.13054656982422,147.68946838378906
97.69261169433594,115.85894775390625,147.47763061523438
97.5890121459961,115.73839569091797,147.37290954589844
97.48284912109375,115.6134262084961,147.25094604492188
97.45927429199219,115.5897445678711,147.23158264160156
97.42044830322266,115.57845306396484,147.18429565429688
97.44840240478516,115.60867309570312,147.2163848876953
97.41942596435547,115.5813217163086,147.16221618652344
97.42543029785156,115.58330535888672,147.171142578125
97.46456909179688,115.62101745605469,147.2225341796875
97.35511016845703,115.51943969726562,147.08856201171875
97.17249298095703,115.32322692871094,146.90151977539062
97.219970703125,115.35589599609375,146.93373107910156
97.15033721923828,115.32333374023438,146.917236328125
97.17741394042969,115.33149719238281,146.93505859375
97.07046508789062,115.24876403808594,146.84255981445312
97.70884704589844,115.88465118408203,147.45425415039062
97.90528869628906,116.16011810302734,147.6959686279297
98.03889465332031,116.30328369140625,147.8480224609375
98.20338439941406,116.4737319946289,148.0057830810547
97.91932678222656,116.2040786743164,147.71368408203125
97.90542602539062,116.17106628417969,147.68515014648438
97.91407012939453,116.17015838623047,147.70657348632812
97.79151153564453,116.05337524414062,147.5915069580078
97.77037811279297,116.02703857421875,147.5860595703125
97.7426986694336,116.00057983398438,147.5663604736328
97.71076202392578,115.96424865722656,147.52862548828125
97.6682357788086,115.93172454833984,147.48085021972656
97.70185089111328,115.92931365966797,147.5546112060547
97.74179077148438,115.9502182006836,147.5756072998047
97.7879867553711,116.00161743164062,147.6255340576172
97.80673217773438,116.00119018554688,147.63714599609375
97.96161651611328,116.12110900878906,147.76513671875
98.04612731933594,116.15149688720703,147.8195343017578
98.12954711914062,116.21965026855469,147.89590454101562
98.15335083007812,116.23582458496094,147.9110870361328
98.23345947265625,116.30276489257812,147.9981231689453
98.25985717773438,116.33932495117188,148.0267333984375
98.33379364013672,116.4112319946289,148.07196044921875
98.32878875732422,116.4048080444336,148.0668487548828
98.33516693115234,116.40751647949219,148.06983947753906
98.31501007080078,116.38227844238281,148.02088928222656
98.36721801757812,116.41989135742188,148.04379272460938
98.25448608398438,116.3158187866211,147.92405700683594
98.2777328491211,116.33345794677734,147.94297790527344
98.35953521728516,116.43406677246094,148.00978088378906
98.37214660644531,116.45172882080078,148.01490783691406
98.36583709716797,116.4417724609375,148.0079803466797
98.29624938964844,116.36144256591797,147.93045043945312
98.2507095336914,116.35063934326172,147.88441467285156
98.18231964111328,116.26739501953125,147.7862548828125
98.15215301513672,116.24188995361328,147.7697296142578
98.12554931640625,116.21138763427734,147.739990234375
98.20189666748047,116.30049896240234,147.84469604492188
98.045166015625,116.23888397216797,147.74916076660156
98.00674438476562,116.2078628540039,147.73085021972656
98.02689361572266,116.24380493164062,147.7788543701172
98.13563537597656,116.29631042480469,147.82797241210938
98.03641510009766,116.22377014160156,147.74212646484375
97.94239044189453,116.09278869628906,147.64962768554688
97.97876739501953,116.10331726074219,147.69493103027344
97.91077423095703,116.05325317382812,147.65382385253906
97.99178314208984,116.0956802368164,147.73260498046875
97.98909759521484,116.08204650878906,147.71372985839844
97.96044921875,116.04652404785156,147.67247009277344
97.8488540649414,115.99390411376953,147.54527282714844
97.76457214355469,115.96334075927734,147.48854064941406
97.70115661621094,115.8590316772461,147.3875732421875
97.28717041015625,115.47827911376953,146.94992065429688
97.11914825439453,115.35418701171875,146.74807739257812
97.0426254272461,115.26438903808594,146.62509155273438
97.04755401611328,115.2852554321289,146.63259887695312
97.02140808105469,115.26593780517578,146.62554931640625
97.06694793701172,115.32452392578125,146.6880340576172
97.09503173828125,115.3327407836914,146.6915283203125
97.01033782958984,115.23249053955078,146.59078979492188
96.97730255126953,115.18235778808594,146.5342254638672
97.03189849853516,115.23649597167969,146.5906982421875
96.97329711914062,115.14445495605469,146.50794982910156
96.99092864990234,115.21251678466797,146.5762481689453
96.87215423583984,115.08721160888672,146.47300720214844
96.69375610351562,114.82048034667969,146.3119354248047
95.60295104980469,113.61339569091797,145.1358642578125
95.42989349365234,113.43051147460938,144.9493865966797
95.3991470336914,113.40150451660156,144.8922882080078
95.20645141601562,113.17604064941406,144.68919372558594
95.10028839111328,113.00666046142578,144.58676147460938
95.11370086669922,113.01297760009766,144.5870361328125
95.21052551269531,113.08487701416016,144.69322204589844
95.31632232666016,113.18871307373047,144.7999267578125
95.33126068115234,113.22644805908203,144.7965087890625
95.4027099609375,113.30561828613281,144.8712615966797
95.39375305175781,113.3001937866211,144.85833740234375
95.34490966796875,113.24635314941406,144.80133056640625
96.09471130371094,113.98106384277344,145.61178588867188
96.3183364868164,114.20922088623047,145.83653259277344
96.46198272705078,114.34563446044922,145.97012329101562
96.61827850341797,114.50542449951172,146.13619995117188
96.65876007080078,114.5238265991211,146.15960693359375
96.66271209716797,114.53607177734375,146.1634063720703
96.71554565429688,114.58760833740234,146.2185821533203
96.66769409179688,114.60945892333984,146.2224884033203
96.68355560302734,114.62705993652344,146.23147583007812
96.71477508544922,114.66078186035156,146.25672912597656
96.80844116210938,114.72257232666016,146.3496551513672
96.78832244873047,114.72686767578125,146.3755645751953
96.83560180664062,114.7713394165039,146.37615966796875
97.03791046142578,114.85633087158203,146.50599670410156
97.06263732910156,114.99427032470703,146.62136840820312
97.17276763916016,115.11935424804688,146.7514190673828
97.15483856201172,115.13819885253906,146.76373291015625
97.1266860961914,115.12203979492188,146.73902893066406
97.13134002685547,115.29386138916016,146.9265594482422
97.23673248291016,115.39181518554688,147.02423095703125
97.19476318359375,115.38130950927734,147.00540161132812
97.27302551269531,115.42183685302734,147.04904174804688
97.29385375976562,115.4642562866211,147.0957794189453
97.23475646972656,115.39752960205078,147.01919555664062
97.17755126953125,115.33907318115234,146.97398376464844
97.15008544921875,115.30262756347656,146.94715881347656
97.04742431640625,115.17764282226562,146.81759643554688
97.15482330322266,115.24191284179688,146.88902282714844
97.1488037109375,115.2363510131836,146.88671875
97.1445541381836,115.20254516601562,146.87486267089844
97.0683364868164,115.1661376953125,146.82000732421875
