y,u,v
120.64459991455078,115.41307830810547,149.22000122070312
120.58951568603516,115.41603088378906,149.2180938720703
121.35248565673828,115.41004943847656,149.25909423828125
121.57804107666016,115.40937042236328,149.26327514648438
121.71472930908203,115.41327667236328,149.2601776123047
121.87606811523438,115.41026306152344,149.26329040527344
121.89775085449219,115.41918182373047,149.2652587890625
121.9059066772461,115.4162368774414,149.26345825195312
121.95964813232422,115.41585540771484,149.2646942138672
121.96751403808594,115.38829803466797,149.26063537597656
121.98320770263672,115.38907623291016,149.25616455078125
122.01446533203125,115.38928985595703,149.25209045410156
122.08898162841797,115.39879608154297,149.2678985595703
122.0976333618164,115.38504028320312,149.2821044921875
122.1285629272461,115.39366912841797,149.26007080078125
122.23809814453125,115.4390869140625,149.280029296875
122.35661315917969,115.39277648925781,149.2747039794922
122.48250579833984,115.38529205322266,149.2781524658203
122.49434661865234,115.37086486816406,149.2783966064453
122.47371673583984,115.36720275878906,149.2753448486328
122.63113403320312,115.29109954833984,149.29266357421875
122.72926330566406,115.29463958740234,149.29722595214844
122.71237182617188,115.2823257446289,149.29428100585938
122.75843048095703,115.29842376708984,149.2942352294922
122.80183410644531,115.28736114501953,149.29827880859375
122.73389434814453,115.29183959960938,149.2908172607422
122.67999267578125,115.290283203125,149.2979736328125
122.64653015136719,115.29310607910156,149.3025665283203
122.5219497680664,115.30387878417969,149.29861450195312
122.59336853027344,115.32207489013672,149.2990264892578
122.58922576904297,115.32115936279297,149.3006591796875
122.56592559814453,115.32984161376953,149.30833435058594
122.51847076416016,115.314453125,149.2998504638672
122.54374694824219,115.31843566894531,149.2972412109375
122.59243774414062,115.31287384033203,149.27291870117188
122.56849670410156,115.32738494873047,149.27865600585938
122.56709289550781,115.3209457397461,149.28541564941406
122.56896209716797,115.32111358642578,149.2821044921875
122.5882797241211,115.32022857666016,149.27362060546875
122.66019439697266,115.32479858398438,149.273193359375
122.6175537109375,115.32589721679688,149.27597045898438
122.60710906982422,115.32916259765625,149.27316284179688
122.64923095703125,115.32378387451172,149.27748107910156
122.62142181396484,115.32237243652344,149.27716064453125
122.57317352294922,115.3246078491211,149.2717742919922
122.63168334960938,115.31974792480469,149.27731323242188
122.62973022460938,115.30765533447266,149.28390502929688
122.55982208251953,115.30144500732422,149.29063415527344
122.5009994506836,115.29360961914062,149.29820251464844
122.46151733398438,115.29774475097656,149.29708862304688
122.39689636230469,115.29452514648438,149.29771423339844
122.2728042602539,115.30655670166016,149.30026245117188
122.3027114868164,115.29508209228516,149.29714965820312
122.28811645507812,115.29486846923828,149.29803466796875
122.28182983398438,115.29183959960938,149.31552124023438
122.21578216552734,115.28221893310547,149.3276824951172
122.24213409423828,115.28404235839844,149.33584594726562
122.16385650634766,115.2542495727539,149.3563995361328
122.15584564208984,115.24430847167969,149.34039306640625
122.14102935791016,115.22854614257812,149.34649658203125
122.3126449584961,115.25431823730469,149.3273162841797
122.280517578125,115.24681091308594,149.31631469726562
122.16525268554688,115.25614166259766,149.2984619140625
122.00328063964844,115.25109100341797,149.2895050048828
121.72512817382812,115.25668334960938,149.30320739746094
121.724609375,115.26205444335938,149.2852325439453
120.31273651123047,115.29881286621094,149.27798461914062
120.24220275878906,115.28355407714844,149.27149963378906
120.12165832519531,115.28157043457031,149.27833557128906
120.1050033569336,115.27266693115234,149.22865295410156
120.05426788330078,115.29032135009766,149.22373962402344
120.04315185546875,115.28631591796875,149.23077392578125
120.07679748535156,115.29171752929688,149.2513427734375
120.12385559082031,115.28045654296875,149.25363159179688
120.22853088378906,115.28646087646484,149.2500762939453
120.28079986572266,115.27456665039062,149.26072692871094
120.24253845214844,115.27395629882812,149.25949096679688
120.25323486328125,115.26434326171875,149.24639892578125
120.3243637084961,115.26943969726562,149.2599334716797
120.24359130859375,115.26705169677734,149.2700958251953
120.29871368408203,115.27075958251953,149.2760009765625
120.3187484741211,115.27579498291016,149.27316284179688
121.21157836914062,115.25858306884766,149.26803588867188
121.08368682861328,115.26681518554688,149.26754760742188
121.10501098632812,115.25732421875,149.271240234375
121.16394805908203,115.25048065185547,149.2820281982422
121.21094512939453,115.25531768798828,149.27999877929688
121.24513244628906,115.25255584716797,149.28419494628906
121.2276611328125,115.25379180908203,149.30470275878906
121.24827575683594,115.26091003417969,149.30154418945312
121.25324249267578,115.25911712646484,149.3040771484375
121.37255096435547,115.26200866699219,149.30642700195312
121.462158203125,115.25345611572266,149.30062866210938
121.51811981201172,115.24649810791016,149.29859924316406
121.48458862304688,115.25382995605469,149.31491088867188
121.52084350585938,115.25398254394531,149.32144165039062
121.53485870361328,115.256591796875,149.3146209716797
121.49256134033203,115.25009155273438,149.3114471435547
121.48532104492188,115.2393798828125,149.31336975097656
121.57308197021484,115.22905731201172,149.32363891601562
121.55941772460938,115.23141479492188,149.32281494140625
121.5764389038086,115.23431396484375,149.31942749023438
121.52574157714844,115.23104858398438,149.29937744140625
121.55886840820312,115.23234558105469,149.29647827148438
121.52725982666016,115.2264633178711,149.295166015625
